19/12/2022 11:15:05	Medium	Web Add-In Runtime Logging Session Started			
19/12/2022 11:15:08	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : bc13b9d0-5ba2-446a-956b-c583bdc94d5e, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "PhoneSettings", Line=75, CharPosition=12		
19/12/2022 11:15:11	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : 7a774f0c-7a6f-11e0-85ad-07fb4824019b, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "TabletSettings", Line=69, CharPosition=12		
19/12/2022 11:15:11	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : 7a774f0c-7a6f-11e0-85ad-07fb4824019b, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "PhoneSettings", Line=73, CharPosition=12		
19/12/2022 11:15:11	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : a216ceed-7791-4635-a752-5a4ac0a5eb93, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "TabletSettings", Line=68, CharPosition=8		
19/12/2022 11:15:11	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : a216ceed-7791-4635-a752-5a4ac0a5eb93, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "PhoneSettings", Line=71, CharPosition=8		
19/12/2022 11:15:11	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : bc13b9d0-5ba2-446a-956b-c583bdc94d5e, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "TabletSettings", Line=71, CharPosition=12		
19/12/2022 11:15:11	Monitorable	Manifest	Skipped unrecognized XML element for add-in ID : bc13b9d0-5ba2-446a-956b-c583bdc94d5e, Location : Element Namespace "http://schemas.microsoft.com/office/appforoffice/1.1" : Element Name "PhoneSettings", Line=75, CharPosition=12		
19/12/2022 11:15:11	Unexpected	Resource	The resource you are trying to use does not exist.		
19/12/2022 11:15:11	Unexpected	SourceMap	Debugging is enabled, but source map file is unavailable. SolutionId=638a5c6f-b6b7-4267-852e-3ab5733f78ff , AppVersion=1.0.0.0		
19/12/2022 11:15:11	Unexpected	Resource	The resource you are trying to use does not exist.		
19/12/2022 11:17:44	Unexpected	Resource	The resource you are trying to use does not exist.		
19/12/2022 11:17:44	Unexpected	SourceMap	Debugging is enabled, but source map file is unavailable. SolutionId=638a5c6f-b6b7-4267-852e-3ab5733f78ff , AppVersion=1.0.0.0		
19/12/2022 11:17:44	Unexpected	Resource	The resource you are trying to use does not exist.		
19/12/2022 11:17:44	Verbose	Runtime	[Console] [Log] Platform Bundle - Office exists!		
19/12/2022 11:17:44	Verbose	Runtime	[Console] [Log] Platform Bundle - Office.actions exists!		
19/12/2022 11:17:44	Verbose	Runtime	[Console] [Log] Platform Bundle - Office.actions.associate exists!		
19/12/2022 11:17:44	Verbose	Runtime	[Console] [Log] Outlook Batch JS loaded!		
19/12/2022 11:17:44	Verbose	Runtime	[Console] [Log] Outlook LaunchEvent JS loaded!		
19/12/2022 11:17:44	Verbose	Runtime	[Console] [Log] `new NativeEventEmitter()` was called with a non-null argument without the required `addListener` method.		
19/12/2022 11:17:44	Verbose	Runtime	[Console] [Log] `new NativeEventEmitter()` was called with a non-null argument without the required `removeListeners` method.		
19/12/2022 11:17:46	Verbose	Runtime	[Console] [Log] InvokeMailboxCreateOM was invoked!["{\"hostVersion\":\"16.0.15831.20208\", \"itemType\":4, \"permissionLevel\":2, \"userEmailAddress\":\"francisco.vios@outlook.com\", \"userDisplayName\":\"francisco.vios@outlook.com\", \"userProfileType\":\"outlookCom\", \"userTimeZone\":\"E. South America Standard Time\", \"conversationId\":null, \"ewsUrl\":\"https://outlook.office365.com/EWS/Exchange.asmx\", \"restUrl\":\"https://outlook.office.com/api\", \"itemNumber\":1073741826, \"roamingSettings\":\"{\\\"urlBase\\\":\\\"\\\\\\\"http://localhost:8000/\\\\\\\"\\\",\\\"token\\\":\\\"\\\\\\\"35_4a79145e8222a212dfeb4cbcaed9153228a38ad30258e581f681e1e9ce66cf8e\\\\\\\"\\\"}\", \"extensionPointType\":8, \"enableBetaAPIs\":false, \"displayLanguage\":\"pt-BR\", \"contentLanguage\":\"pt-BR\", \"officeVersion\":\"16.0.15831.20208\", \"requirementSets\":\"{\\\"Mailbox\\\":\\\"1.12\\\",\\\"OutlookTelemetry\\\":\\\"1.2\\\",\\\"IdentityAPI\\\":\\\"1.3\\\"}\", \"isFromSharedFolder\":false, \"shouldRunNewCodeForFlags\":1}"]		
19/12/2022 11:17:46	Verbose	Runtime	[Console] [Log] SDX Control is ready!		
19/12/2022 11:17:46	Verbose	Runtime	[Console] [Log] MailboxHostExecuteApi invoked!		
19/12/2022 11:17:46	Verbose	Runtime	[Console] [Log] RunLaunchEventHandlerFunctionWithData was invoked with funcName = onMessageSendHandler		
19/12/2022 11:17:46	Verbose	Runtime	[Console] [Log] MailboxHostExecuteApi invoked!		
19/12/2022 11:17:46	Verbose	Runtime	[Console] [Log] MailboxHostExecuteApi invoked!		
19/12/2022 11:17:46	Verbose	Runtime	[Console] [Log] MailboxHostExecuteApi invoked!		
19/12/2022 11:17:46	Verbose	Runtime	[Console] [Log] MailboxHostExecuteApi invoked!		
19/12/2022 11:17:46	Verbose	Runtime	[Console] [Log] Event completed message sent to host!		
